CustomerID,PaymentDate,Subtotal,ShippingFee
66,1/15/2021,$537.99 ,$44.99 
67,1/15/2021,$432.99 ,$40.99 
68,1/15/2021,$432.99 ,$40.99 
69,1/15/2021,$301.99 ,$36.99 
70,1/15/2021,$177.99 ,$36.99 
72,1/15/2021,$252.99 ,$40.99 
73,1/15/2021,$313.99 ,$44.99 
74,1/15/2021,$432.99 ,$40.99 
75,1/15/2021,$172.99 ,$32.99 
76,1/15/2021,$177.99 ,$36.99 
77,1/15/2021,$177.99 ,$36.99 
78,1/15/2021,$92.99 ,$32.99 
81,1/15/2021,$177.99 ,$36.99 
82,1/15/2021,$177.99 ,$36.99 
83,1/15/2021,$92.99 ,$32.99 
84,1/15/2021,$301.99 ,$36.99 
86,1/15/2021,$252.99 ,$40.99 
87,1/15/2021,$537.99 ,$44.99 
88,1/15/2021,$432.99 ,$40.99 
89,1/15/2021,$353.99 ,$48.99 
90,1/15/2021,$177.99 ,$36.99 
91,1/15/2021,$301.99 ,$36.99 
92,1/15/2021,$313.99 ,$44.99 
93,1/15/2021,$92.99 ,$32.99 
94,1/15/2021,$313.99 ,$44.99 
95,1/15/2021,$252.99 ,$40.99 
97,1/15/2021,$177.99 ,$36.99 
98,1/15/2021,$177.99 ,$36.99 
99,1/15/2021,$301.99 ,$36.99 
100,1/15/2021,$177.99 ,$36.99 
101,1/15/2021,$252.99 ,$40.99 
102,1/15/2021,$301.99 ,$36.99 
103,1/15/2021,$432.99 ,$40.99 
104,1/15/2021,$432.99 ,$40.99 
105,1/15/2021,$252.99 ,$40.99 
106,1/15/2021,$177.99 ,$36.99 
107,1/15/2021,$252.99 ,$40.99 
108,1/15/2021,$177.99 ,$36.99 
109,1/15/2021,$177.99 ,$36.99 
110,1/15/2021,$252.99 ,$40.99 
111,1/15/2021,$313.99 ,$44.99 
112,1/15/2021,$353.99 ,$48.99 
113,1/15/2021,$172.99 ,$32.99 
114,1/15/2021,$177.99 ,$36.99 
115,1/15/2021,$92.99 ,$32.99 
116,1/15/2021,$252.99 ,$40.99 
117,1/15/2021,$92.99 ,$32.99 
118,1/15/2021,$313.99 ,$44.99 
120,1/15/2021,$177.99 ,$36.99 
121,1/15/2021,$432.99 ,$40.99 
122,1/15/2021,$301.99 ,$36.99 
123,1/15/2021,$301.99 ,$36.99 
124,1/15/2021,$92.99 ,$32.99 
125,1/15/2021,$252.99 ,$40.99 
126,1/15/2021,$432.99 ,$40.99 
128,1/15/2021,$301.99 ,$36.99 
129,1/15/2021,$252.99 ,$40.99 
130,1/15/2021,$252.99 ,$40.99 
131,1/15/2021,$252.99 ,$40.99 
132,1/15/2021,$313.99 ,$44.99 
133,1/15/2021,$432.99 ,$40.99 
134,1/15/2021,$432.99 ,$40.99 
138,1/15/2021,$92.99 ,$32.99 
139,1/15/2021,$301.99 ,$36.99 
140,1/15/2021,$313.99 ,$44.99 
141,1/15/2021,$353.99 ,$48.99 
142,1/15/2021,$432.99 ,$40.99 
143,1/15/2021,$172.99 ,$32.99 
144,1/15/2021,$655.99 ,$48.99 
145,1/15/2021,$313.99 ,$44.99 
146,1/15/2021,$177.99 ,$36.99 
147,1/15/2021,$252.99 ,$40.99 
148,1/15/2021,$252.99 ,$40.99 
149,1/15/2021,$172.99 ,$32.99 
150,1/15/2021,$301.99 ,$36.99 
151,1/15/2021,$252.99 ,$40.99 
152,1/15/2021,$177.99 ,$36.99 
153,1/15/2021,$537.99 ,$44.99 
155,1/15/2021,$92.99 ,$32.99 
156,1/15/2021,$177.99 ,$36.99 
157,1/15/2021,$92.99 ,$32.99 
158,1/15/2021,$92.99 ,$32.99 
160,1/15/2021,$252.99 ,$40.99 
161,1/15/2021,$252.99 ,$40.99 
162,1/15/2021,$177.99 ,$36.99 
163,1/15/2021,$252.99 ,$40.99 
165,1/15/2021,$432.99 ,$40.99 
166,1/15/2021,$432.99 ,$40.99 
167,1/15/2021,$537.99 ,$44.99 
168,1/15/2021,$353.99 ,$48.99 
169,1/15/2021,$172.99 ,$32.99 
170,1/15/2021,$177.99 ,$36.99 
171,1/15/2021,$252.99 ,$40.99 
173,1/15/2021,$301.99 ,$36.99 
174,1/15/2021,$432.99 ,$40.99 
175,1/15/2021,$301.99 ,$36.99 
176,1/15/2021,$172.99 ,$32.99 
177,1/15/2021,$432.99 ,$40.99 
178,1/15/2021,$92.99 ,$32.99 
179,1/15/2021,$301.99 ,$36.99 
180,1/15/2021,$432.99 ,$40.99 
181,1/15/2021,$252.99 ,$40.99 
182,1/15/2021,$252.99 ,$40.99 
184,1/15/2021,$172.99 ,$32.99 
185,1/15/2021,$313.99 ,$44.99 
186,1/15/2021,$177.99 ,$36.99 
188,1/15/2021,$172.99 ,$32.99 
189,1/15/2021,$301.99 ,$36.99 
190,1/15/2021,$301.99 ,$36.99 
191,1/15/2021,$252.99 ,$40.99 
192,1/15/2021,$432.99 ,$40.99 
194,1/15/2021,$313.99 ,$44.99 
195,1/15/2021,$177.99 ,$36.99 
196,1/15/2021,$301.99 ,$36.99 
198,1/15/2021,$432.99 ,$40.99 
199,1/15/2021,$172.99 ,$32.99 
200,1/15/2021,$177.99 ,$36.99 
201,1/15/2021,$252.99 ,$40.99 
203,1/15/2021,$432.99 ,$40.99 
204,1/15/2021,$92.99 ,$32.99 
205,1/15/2021,$353.99 ,$48.99 
206,1/15/2021,$92.99 ,$32.99 
207,1/15/2021,$301.99 ,$36.99 
208,1/15/2021,$252.99 ,$40.99 
211,1/15/2021,$177.99 ,$36.99 
212,1/15/2021,$252.99 ,$40.99 
213,1/15/2021,$655.99 ,$48.99 
214,1/15/2021,$177.99 ,$36.99 
215,1/15/2021,$177.99 ,$36.99 
216,1/15/2021,$177.99 ,$36.99 
217,1/15/2021,$432.99 ,$40.99 
218,1/15/2021,$172.99 ,$32.99 
219,1/15/2021,$92.99 ,$32.99 
220,1/15/2021,$301.99 ,$36.99 
221,1/15/2021,$92.99 ,$32.99 
222,1/15/2021,$353.99 ,$48.99 
223,1/15/2021,$301.99 ,$36.99 
224,1/15/2021,$252.99 ,$40.99 
225,1/15/2021,$537.99 ,$44.99 
226,1/15/2021,$301.99 ,$36.99 
227,1/15/2021,$252.99 ,$40.99 
228,1/15/2021,$301.99 ,$36.99 
229,1/15/2021,$92.99 ,$32.99 
230,1/15/2021,$301.99 ,$36.99 
231,1/15/2021,$252.99 ,$40.99 
232,1/15/2021,$432.99 ,$40.99 
234,1/15/2021,$353.99 ,$48.99 
235,1/15/2021,$252.99 ,$40.99 
237,1/15/2021,$313.99 ,$44.99 
238,1/15/2021,$252.99 ,$40.99 
239,1/15/2021,$252.99 ,$40.99 
240,1/15/2021,$252.99 ,$40.99 
241,1/15/2021,$655.99 ,$48.99 
242,1/15/2021,$92.99 ,$32.99 
243,1/15/2021,$432.99 ,$40.99 
244,1/15/2021,$252.99 ,$40.99 
245,1/15/2021,$177.99 ,$36.99 
246,1/15/2021,$537.99 ,$44.99 
247,1/15/2021,$252.99 ,$40.99 
248,1/15/2021,$301.99 ,$36.99 
249,1/15/2021,$172.99 ,$32.99 
250,1/15/2021,$301.99 ,$36.99 
251,1/15/2021,$313.99 ,$44.99 
252,1/15/2021,$432.99 ,$40.99 
253,1/15/2021,$432.99 ,$40.99 
254,1/15/2021,$301.99 ,$36.99 
255,1/15/2021,$252.99 ,$40.99 
256,1/15/2021,$432.99 ,$40.99 
257,1/15/2021,$252.99 ,$40.99 
258,1/15/2021,$172.99 ,$32.99 
259,1/15/2021,$301.99 ,$36.99 
260,1/15/2021,$252.99 ,$40.99 
261,1/15/2021,$301.99 ,$36.99 
262,1/15/2021,$432.99 ,$40.99 
263,1/15/2021,$252.99 ,$40.99 
264,1/15/2021,$432.99 ,$40.99 
265,1/15/2021,$301.99 ,$36.99 
266,1/15/2021,$172.99 ,$32.99 
267,1/15/2021,$432.99 ,$40.99 
268,1/15/2021,$301.99 ,$36.99 
270,1/15/2021,$313.99 ,$44.99 
271,1/15/2021,$252.99 ,$40.99 
272,1/15/2021,$537.99 ,$44.99 
273,1/15/2021,$252.99 ,$40.99 
274,1/15/2021,$252.99 ,$40.99 
275,1/15/2021,$252.99 ,$40.99 
276,1/15/2021,$432.99 ,$40.99 
277,1/15/2021,$177.99 ,$36.99 
278,1/15/2021,$353.99 ,$48.99 
279,1/15/2021,$177.99 ,$36.99 
280,1/15/2021,$172.99 ,$32.99 
281,1/15/2021,$252.99 ,$40.99 
282,1/15/2021,$313.99 ,$44.99 
283,1/15/2021,$432.99 ,$40.99 
284,1/15/2021,$172.99 ,$32.99 
285,1/15/2021,$353.99 ,$48.99 
286,1/15/2021,$301.99 ,$36.99 
287,1/15/2021,$177.99 ,$36.99 
288,1/15/2021,$313.99 ,$44.99 
289,1/15/2021,$301.99 ,$36.99 
290,1/15/2021,$313.99 ,$44.99 
291,1/15/2021,$177.99 ,$36.99 
292,1/15/2021,$301.99 ,$36.99 
293,1/15/2021,$301.99 ,$36.99 
294,1/15/2021,$301.99 ,$36.99 
295,1/15/2021,$252.99 ,$40.99 
296,1/15/2021,$313.99 ,$44.99 
297,1/15/2021,$92.99 ,$32.99 
298,1/15/2021,$252.99 ,$40.99 
299,1/15/2021,$252.99 ,$40.99 
300,1/15/2021,$177.99 ,$36.99 
301,1/15/2021,$252.99 ,$40.99 
303,1/15/2021,$301.99 ,$36.99 
304,1/15/2021,$252.99 ,$40.99 
305,1/15/2021,$172.99 ,$32.99 
306,1/15/2021,$252.99 ,$40.99 
307,1/15/2021,$252.99 ,$40.99 
308,1/15/2021,$301.99 ,$36.99 
309,1/15/2021,$432.99 ,$40.99 
310,1/15/2021,$172.99 ,$32.99 
311,1/15/2021,$252.99 ,$40.99 
312,1/15/2021,$177.99 ,$36.99 
313,1/15/2021,$177.99 ,$36.99 
314,1/15/2021,$432.99 ,$40.99 
315,1/15/2021,$301.99 ,$36.99 
316,1/15/2021,$252.99 ,$40.99 
317,1/15/2021,$301.99 ,$36.99 
318,1/15/2021,$353.99 ,$48.99 
319,1/15/2021,$313.99 ,$44.99 
320,1/15/2021,$313.99 ,$44.99 
321,1/15/2021,$432.99 ,$40.99 
322,1/15/2021,$432.99 ,$40.99 
323,1/15/2021,$537.99 ,$44.99 
324,1/15/2021,$252.99 ,$40.99 
325,1/15/2021,$432.99 ,$40.99 
326,1/15/2021,$172.99 ,$32.99 
327,1/15/2021,$252.99 ,$40.99 
328,1/15/2021,$301.99 ,$36.99 
329,1/15/2021,$301.99 ,$36.99 
330,1/15/2021,$172.99 ,$32.99 
331,1/15/2021,$537.99 ,$44.99 
332,1/15/2021,$177.99 ,$36.99 
333,1/15/2021,$177.99 ,$36.99 
334,1/15/2021,$353.99 ,$48.99 
335,1/15/2021,$301.99 ,$36.99 
336,1/15/2021,$252.99 ,$40.99 
337,1/15/2021,$353.99 ,$48.99 
338,1/15/2021,$252.99 ,$40.99 
339,1/15/2021,$177.99 ,$36.99 
340,1/15/2021,$172.99 ,$32.99 
341,1/15/2021,$301.99 ,$36.99 
342,1/15/2021,$432.99 ,$40.99 
343,1/15/2021,$252.99 ,$40.99 
344,1/15/2021,$432.99 ,$40.99 
345,1/15/2021,$252.99 ,$40.99 
346,1/15/2021,$301.99 ,$36.99 
347,1/15/2021,$432.99 ,$40.99 
348,1/15/2021,$177.99 ,$36.99 
349,1/15/2021,$313.99 ,$44.99 
350,1/15/2021,$172.99 ,$32.99 
351,1/15/2021,$252.99 ,$40.99 
352,1/15/2021,$432.99 ,$40.99 
353,1/15/2021,$177.99 ,$36.99 
354,1/15/2021,$537.99 ,$44.99 
355,1/15/2021,$177.99 ,$36.99 
356,1/15/2021,$301.99 ,$36.99 
357,1/15/2021,$353.99 ,$48.99 
358,1/15/2021,$172.99 ,$32.99 
359,1/15/2021,$177.99 ,$36.99 
360,1/15/2021,$92.99 ,$32.99 
361,1/15/2021,$252.99 ,$40.99 
362,1/15/2021,$92.99 ,$32.99 
363,1/15/2021,$252.99 ,$40.99 
364,1/15/2021,$301.99 ,$36.99 
365,1/15/2021,$353.99 ,$48.99 
366,1/15/2021,$172.99 ,$32.99 
367,1/15/2021,$432.99 ,$40.99 
368,1/15/2021,$313.99 ,$44.99 
369,1/15/2021,$353.99 ,$48.99 
370,1/15/2021,$92.99 ,$32.99 
371,1/15/2021,$301.99 ,$36.99 
372,1/15/2021,$537.99 ,$44.99 
373,1/15/2021,$92.99 ,$32.99 
374,1/15/2021,$177.99 ,$36.99 
375,1/15/2021,$252.99 ,$40.99 
376,1/15/2021,$432.99 ,$40.99 
378,1/15/2021,$432.99 ,$40.99 
379,1/15/2021,$432.99 ,$40.99 
380,1/15/2021,$172.99 ,$32.99 
381,1/15/2021,$537.99 ,$44.99 
382,1/15/2021,$252.99 ,$40.99 
383,1/15/2021,$252.99 ,$40.99 
384,1/15/2021,$172.99 ,$32.99 
385,1/15/2021,$252.99 ,$40.99 
386,1/15/2021,$313.99 ,$44.99 
388,1/15/2021,$432.99 ,$40.99 
389,1/15/2021,$301.99 ,$36.99 
390,1/15/2021,$252.99 ,$40.99 
391,1/15/2021,$172.99 ,$32.99 
392,1/15/2021,$432.99 ,$40.99 
393,1/15/2021,$172.99 ,$32.99 
394,1/15/2021,$172.99 ,$32.99 
395,1/15/2021,$301.99 ,$36.99 
396,1/15/2021,$177.99 ,$36.99 
397,1/15/2021,$432.99 ,$40.99 
399,1/15/2021,$92.99 ,$32.99 
400,1/15/2021,$301.99 ,$36.99 
401,1/15/2021,$301.99 ,$36.99 
402,1/15/2021,$252.99 ,$40.99 
403,1/15/2021,$252.99 ,$40.99 
404,1/15/2021,$301.99 ,$36.99 
405,1/15/2021,$252.99 ,$40.99 
406,1/15/2021,$177.99 ,$36.99 
407,1/15/2021,$353.99 ,$48.99 
408,1/15/2021,$353.99 ,$48.99 
409,1/15/2021,$172.99 ,$32.99 
410,1/15/2021,$537.99 ,$44.99 
411,1/15/2021,$177.99 ,$36.99 
412,1/15/2021,$655.99 ,$48.99 
413,1/15/2021,$301.99 ,$36.99 
414,1/15/2021,$252.99 ,$40.99 
415,1/15/2021,$313.99 ,$44.99 
416,1/15/2021,$252.99 ,$40.99 
417,1/15/2021,$432.99 ,$40.99 
418,1/15/2021,$537.99 ,$44.99 
419,1/15/2021,$92.99 ,$32.99 
420,1/15/2021,$301.99 ,$36.99 
421,1/15/2021,$177.99 ,$36.99 
422,1/15/2021,$252.99 ,$40.99 
423,1/15/2021,$252.99 ,$40.99 
424,1/15/2021,$252.99 ,$40.99 
425,1/15/2021,$252.99 ,$40.99 
426,1/15/2021,$92.99 ,$32.99 
427,1/15/2021,$537.99 ,$44.99 
428,1/15/2021,$301.99 ,$36.99 
430,1/15/2021,$432.99 ,$40.99 
431,1/15/2021,$353.99 ,$48.99 
432,1/15/2021,$432.99 ,$40.99 
433,1/15/2021,$172.99 ,$32.99 
434,1/15/2021,$172.99 ,$32.99 
435,1/15/2021,$252.99 ,$40.99 
436,1/15/2021,$432.99 ,$40.99 
437,1/15/2021,$301.99 ,$36.99 
438,1/15/2021,$177.99 ,$36.99 
439,1/15/2021,$301.99 ,$36.99 
440,1/15/2021,$92.99 ,$32.99 
441,1/15/2021,$353.99 ,$48.99 
442,1/15/2021,$313.99 ,$44.99 
443,1/15/2021,$252.99 ,$40.99 
444,1/15/2021,$252.99 ,$40.99 
445,1/15/2021,$301.99 ,$36.99 
446,1/15/2021,$177.99 ,$36.99 
447,1/15/2021,$432.99 ,$40.99 
448,1/15/2021,$432.99 ,$40.99 
449,1/15/2021,$252.99 ,$40.99 
450,1/15/2021,$172.99 ,$32.99 
451,1/15/2021,$252.99 ,$40.99 
452,1/15/2021,$301.99 ,$36.99 
453,1/15/2021,$172.99 ,$32.99 
454,1/15/2021,$432.99 ,$40.99 
455,1/15/2021,$432.99 ,$40.99 
456,1/15/2021,$172.99 ,$32.99 
457,1/15/2021,$301.99 ,$36.99 
458,1/15/2021,$432.99 ,$40.99 
459,1/15/2021,$252.99 ,$40.99 
460,1/15/2021,$432.99 ,$40.99 
461,1/15/2021,$301.99 ,$36.99 
462,1/15/2021,$432.99 ,$40.99 
463,1/15/2021,$655.99 ,$48.99 
464,1/15/2021,$92.99 ,$32.99 
465,1/15/2021,$313.99 ,$44.99 
466,1/15/2021,$313.99 ,$44.99 
467,1/15/2021,$172.99 ,$32.99 
468,1/15/2021,$301.99 ,$36.99 
469,1/15/2021,$252.99 ,$40.99 
470,1/15/2021,$252.99 ,$40.99 
471,1/15/2021,$313.99 ,$44.99 
472,1/15/2021,$432.99 ,$40.99 
473,1/15/2021,$252.99 ,$40.99 
474,1/15/2021,$92.99 ,$32.99 
475,1/15/2021,$313.99 ,$44.99 
476,1/15/2021,$432.99 ,$40.99 
477,1/15/2021,$432.99 ,$40.99 
478,1/15/2021,$177.99 ,$36.99 
479,1/15/2021,$313.99 ,$44.99 
480,1/15/2021,$172.99 ,$32.99 
481,1/15/2021,$92.99 ,$32.99 
482,1/15/2021,$172.99 ,$32.99 
483,1/15/2021,$252.99 ,$40.99 
484,1/15/2021,$252.99 ,$40.99 
485,1/15/2021,$301.99 ,$36.99 
486,1/15/2021,$655.99 ,$48.99 
487,1/15/2021,$177.99 ,$36.99 
488,1/15/2021,$432.99 ,$40.99 
489,1/15/2021,$252.99 ,$40.99 
490,1/15/2021,$252.99 ,$40.99 
491,1/15/2021,$353.99 ,$48.99 
492,1/15/2021,$432.99 ,$40.99 
493,1/15/2021,$252.99 ,$40.99 
494,1/15/2021,$301.99 ,$36.99 
495,1/15/2021,$177.99 ,$36.99 
496,1/15/2021,$172.99 ,$32.99 
497,1/15/2021,$177.99 ,$36.99 
498,1/15/2021,$301.99 ,$36.99 
499,1/15/2021,$301.99 ,$36.99 
500,1/15/2021,$177.99 ,$36.99 
501,1/15/2021,$252.99 ,$40.99 
502,1/15/2021,$92.99 ,$32.99 
503,1/15/2021,$177.99 ,$36.99 
504,1/15/2021,$301.99 ,$36.99 
505,1/15/2021,$313.99 ,$44.99 
506,1/15/2021,$177.99 ,$36.99 
2,2/15/2021,$432.99 ,$40.99 
3,2/15/2021,$92.99 ,$32.99 
4,2/15/2021,$177.99 ,$36.99 
5,2/15/2021,$252.99 ,$40.99 
6,2/15/2021,$252.99 ,$40.99 
7,2/15/2021,$252.99 ,$40.99 
8,2/15/2021,$172.99 ,$32.99 
9,2/15/2021,$353.99 ,$48.99 
10,2/15/2021,$313.99 ,$44.99 
12,2/15/2021,$252.99 ,$40.99 
13,2/15/2021,$177.99 ,$36.99 
14,2/15/2021,$301.99 ,$36.99 
15,2/15/2021,$252.99 ,$40.99 
16,2/15/2021,$252.99 ,$40.99 
18,2/15/2021,$301.99 ,$36.99 
19,2/15/2021,$177.99 ,$36.99 
20,2/15/2021,$313.99 ,$44.99 
21,2/15/2021,$172.99 ,$32.99 
22,2/15/2021,$432.99 ,$40.99 
23,2/15/2021,$313.99 ,$44.99 
24,2/15/2021,$252.99 ,$40.99 
25,2/15/2021,$92.99 ,$32.99 
26,2/15/2021,$301.99 ,$36.99 
27,2/15/2021,$313.99 ,$44.99 
28,2/15/2021,$177.99 ,$36.99 
29,2/15/2021,$313.99 ,$44.99 
30,2/15/2021,$301.99 ,$36.99 
31,2/15/2021,$432.99 ,$40.99 
32,2/15/2021,$432.99 ,$40.99 
33,2/15/2021,$172.99 ,$32.99 
34,2/15/2021,$172.99 ,$32.99 
35,2/15/2021,$537.99 ,$44.99 
36,2/15/2021,$301.99 ,$36.99 
37,2/15/2021,$301.99 ,$36.99 
39,2/15/2021,$432.99 ,$40.99 
40,2/15/2021,$252.99 ,$40.99 
41,2/15/2021,$92.99 ,$32.99 
42,2/15/2021,$177.99 ,$36.99 
43,2/15/2021,$177.99 ,$36.99 
44,2/15/2021,$177.99 ,$36.99 
45,2/15/2021,$92.99 ,$32.99 
46,2/15/2021,$353.99 ,$48.99 
47,2/15/2021,$432.99 ,$40.99 
48,2/15/2021,$92.99 ,$32.99 
49,2/15/2021,$172.99 ,$32.99 
50,2/15/2021,$432.99 ,$40.99 
51,2/15/2021,$177.99 ,$36.99 
52,2/15/2021,$301.99 ,$36.99 
55,2/15/2021,$252.99 ,$40.99 
56,2/15/2021,$353.99 ,$48.99 
57,2/15/2021,$92.99 ,$32.99 
58,2/15/2021,$172.99 ,$32.99 
59,2/15/2021,$353.99 ,$48.99 
60,2/15/2021,$432.99 ,$40.99 
61,2/15/2021,$172.99 ,$32.99 
62,2/15/2021,$301.99 ,$36.99 
63,2/15/2021,$252.99 ,$40.99 
64,2/15/2021,$252.99 ,$40.99 
65,2/15/2021,$172.99 ,$32.99 
66,2/15/2021,$537.99 ,$44.99 
67,2/15/2021,$432.99 ,$40.99 
68,2/15/2021,$432.99 ,$40.99 
69,2/15/2021,$301.99 ,$36.99 
70,2/15/2021,$177.99 ,$36.99 
72,2/15/2021,$252.99 ,$40.99 
73,2/15/2021,$313.99 ,$44.99 
74,2/15/2021,$432.99 ,$40.99 
75,2/15/2021,$172.99 ,$32.99 
76,2/15/2021,$177.99 ,$36.99 
77,2/15/2021,$177.99 ,$36.99 
78,2/15/2021,$92.99 ,$32.99 
81,2/15/2021,$177.99 ,$36.99 
82,2/15/2021,$177.99 ,$36.99 
83,2/15/2021,$92.99 ,$32.99 
84,2/15/2021,$301.99 ,$36.99 
86,2/15/2021,$252.99 ,$40.99 
87,2/15/2021,$537.99 ,$44.99 
88,2/15/2021,$432.99 ,$40.99 
89,2/15/2021,$353.99 ,$48.99 
90,2/15/2021,$177.99 ,$36.99 
91,2/15/2021,$301.99 ,$36.99 
92,2/15/2021,$313.99 ,$44.99 
93,2/15/2021,$92.99 ,$32.99 
94,2/15/2021,$313.99 ,$44.99 
95,2/15/2021,$252.99 ,$40.99 
97,2/15/2021,$177.99 ,$36.99 
98,2/15/2021,$177.99 ,$36.99 
99,2/15/2021,$301.99 ,$36.99 
100,2/15/2021,$177.99 ,$36.99 
101,2/15/2021,$252.99 ,$40.99 
102,2/15/2021,$301.99 ,$36.99 
103,2/15/2021,$432.99 ,$40.99 
104,2/15/2021,$432.99 ,$40.99 
105,2/15/2021,$252.99 ,$40.99 
106,2/15/2021,$177.99 ,$36.99 
107,2/15/2021,$252.99 ,$40.99 
108,2/15/2021,$177.99 ,$36.99 
109,2/15/2021,$177.99 ,$36.99 
110,2/15/2021,$252.99 ,$40.99 
111,2/15/2021,$313.99 ,$44.99 
112,2/15/2021,$353.99 ,$48.99 
113,2/15/2021,$172.99 ,$32.99 
114,2/15/2021,$177.99 ,$36.99 
115,2/15/2021,$92.99 ,$32.99 
116,2/15/2021,$252.99 ,$40.99 
117,2/15/2021,$92.99 ,$32.99 
118,2/15/2021,$313.99 ,$44.99 
120,2/15/2021,$177.99 ,$36.99 
121,2/15/2021,$432.99 ,$40.99 
122,2/15/2021,$301.99 ,$36.99 
123,2/15/2021,$301.99 ,$36.99 
124,2/15/2021,$92.99 ,$32.99 
125,2/15/2021,$252.99 ,$40.99 
126,2/15/2021,$432.99 ,$40.99 
129,2/15/2021,$252.99 ,$40.99 
130,2/15/2021,$252.99 ,$40.99 
131,2/15/2021,$252.99 ,$40.99 
132,2/15/2021,$313.99 ,$44.99 
133,2/15/2021,$432.99 ,$40.99 
134,2/15/2021,$432.99 ,$40.99 
138,2/15/2021,$92.99 ,$32.99 
139,2/15/2021,$301.99 ,$36.99 
140,2/15/2021,$313.99 ,$44.99 
141,2/15/2021,$353.99 ,$48.99 
142,2/15/2021,$432.99 ,$40.99 
143,2/15/2021,$172.99 ,$32.99 
144,2/15/2021,$655.99 ,$48.99 
145,2/15/2021,$313.99 ,$44.99 
146,2/15/2021,$177.99 ,$36.99 
147,2/15/2021,$252.99 ,$40.99 
148,2/15/2021,$252.99 ,$40.99 
149,2/15/2021,$172.99 ,$32.99 
150,2/15/2021,$301.99 ,$36.99 
151,2/15/2021,$252.99 ,$40.99 
152,2/15/2021,$177.99 ,$36.99 
153,2/15/2021,$537.99 ,$44.99 
155,2/15/2021,$92.99 ,$32.99 
156,2/15/2021,$177.99 ,$36.99 
157,2/15/2021,$92.99 ,$32.99 
158,2/15/2021,$92.99 ,$32.99 
160,2/15/2021,$252.99 ,$40.99 
161,2/15/2021,$252.99 ,$40.99 
162,2/15/2021,$177.99 ,$36.99 
163,2/15/2021,$252.99 ,$40.99 
165,2/15/2021,$432.99 ,$40.99 
166,2/15/2021,$432.99 ,$40.99 
167,2/15/2021,$537.99 ,$44.99 
168,2/15/2021,$353.99 ,$48.99 
169,2/15/2021,$172.99 ,$32.99 
170,2/15/2021,$177.99 ,$36.99 
171,2/15/2021,$252.99 ,$40.99 
173,2/15/2021,$301.99 ,$36.99 
174,2/15/2021,$432.99 ,$40.99 
175,2/15/2021,$301.99 ,$36.99 
176,2/15/2021,$172.99 ,$32.99 
177,2/15/2021,$432.99 ,$40.99 
178,2/15/2021,$92.99 ,$32.99 
179,2/15/2021,$301.99 ,$36.99 
180,2/15/2021,$432.99 ,$40.99 
181,2/15/2021,$252.99 ,$40.99 
182,2/15/2021,$252.99 ,$40.99 
184,2/15/2021,$172.99 ,$32.99 
185,2/15/2021,$313.99 ,$44.99 
